Full Name,Draft Value,Initial State,Initial Team Color,Initial Ideology,Draft Year,Historic Retirement,Death Year,First Year Command,First Year Legislative,First Year Governing,First Year Judicial,First Year Military,First Year Administrative,Flip Date Year 1,Flip Date Year 2,Flip Date Year 3
Willis Sweet,5,ID,Red,Prog,1884,,1925,0,1,0,1,0,0,,,
Ashton Cokayne Shallenberger,5,NE,Blue,Mod,1888,1936,1938,0,1,1,0,0,0,,,
Bryant Butler Brooks,5,WY,Red,Mod,1888,1912,1944,0,0,2,0,0,0,,,
Charles M Floyd,5,NH,Red,Mod,1888,,1923,0,1,1,0,0,0,,,
Edward C Stokes,5,NJ,Red,Mod,1888,1928,1942,0,1,1,0,0,0,,,
Edward I Edwards,5,NJ,Blue,Mod,1888,,1931,0,1,1,0,0,0,,,
Emanuel Philipp,5,WI,Red,Cons,1888,,1925,0,0,2,0,0,0,,,
Frank Steunenberg,5,ID,Blue,LW Pop,1888,,1905,0,1,1,0,0,0,,,
Henry T Rainey,5,IL,Blue,Lib,1888,,1934,0,2,0,0,0,0,,,
John H Morehead,5,NE,Blue,Mod,1888,1936,1942,0,1,1,0,0,0,,,
Louis F Hart,5,WA,Red,Mod,1888,,1929,0,0,2,0,0,0,,,
Sherman Hoar,5,MA,Blue,Lib,1888,,1898,0,1,0,0,0,0,,,
Walter S Goodland,5,WI,Red,Mod,1888,,1947,0,1,1,0,0,0,,,
Wesley L Jones,5,WA,Red,Mod,1888,,1932,0,2,0,0,0,0,,,
Willard Saulsbury Jr,5,DE,Blue,Cons,1888,,1927,0,2,0,0,0,0,,,
Carl Gunderson,5,SD,Red,Mod,1892,1928,1933,0,1,1,0,0,0,,,
Clark Burdick,5,RI,Red,Mod,1892,1932,1948,0,1,1,0,0,0,,,
Elmer Burkett,5,NE,Red,Mod,1892,,1935,0,1,1,0,0,0,,,
Frank E Doremus,5,MI,Blue,Mod,1892,1920,1947,0,1,1,0,0,0,,,
John Stuchell Fisher,5,PA,Red,Mod,1892,1932,1940,0,1,1,0,0,0,,,
Marcus A Coolidge,5,MA,Blue,Mod,1892,1936,1947,0,1,1,0,0,0,,,
Simeon Pennewill,5,DE,Red,Mod,1892,,1935,0,1,1,0,0,0,,,
Thomas Kilby,5,AL,Blue,Trad,1892,1924,1943,0,1,1,0,0,0,,,
Charles A Templeton,5,CT,Red,Mod,1896,1928,1955,0,1,1,0,0,0,,,
Everett Lake,5,CT,Red,Mod,1896,1924,1948,0,1,1,0,0,0,,,
Fred P Cone,5,FL,Blue,Trad,1896,1944,1948,0,1,1,0,0,0,,,
H C Baldridge,5,ID,Red,Mod,1896,1932,1947,0,1,1,0,0,0,,,
Henry F Hollis,5,NH,Blue,Mod,1896,1920,1949,0,1,1,0,0,0,,,
James Rolph,5,CA,Red,Mod,1896,,1934,0,0,1,0,0,0,,,
Jared Y Sanders Sr,5,LA,Blue,Cons,1896,1920,1944,0,1,1,0,0,0,,,
Jo Byrns Sr,5,TN,Blue,Cons,1896,,1936,0,2,0,0,0,0,,,
John Calhoun Phillips,5,AZ,Red,Mod,1896,1932,1943,0,1,1,0,0,0,,,
Magnus Johnson,5,MN,Blue,Prog,1896,,1936,0,1,1,0,0,0,,,
Meyer London,5,NY,Blue,LW Pop,1896,,1926,0,1,0,0,0,0,,,
Peter Norbeck,5,SD,Red,Mod,1896,,1936,0,1,1,0,0,0,,,
Tasker Oddie,5,NV,Red,Mod,1896,1932,1950,0,1,1,0,0,0,,,
Thomas Gordon McLeod,5,SC,Blue,Cons,1896,,1932,0,1,1,0,0,0,,,
Arthur J Weaver,5,NE,Red,Mod,1900,1932,1945,0,1,1,0,0,0,,,
Asbury Francis Lever,5,SC,Blue,Cons,1900,,1940,0,1,1,0,0,0,,,
Daniel A Reed,5,NY,Red,Trad,1900,,1959,0,1,0,0,0,0,,,
E W Marland,5,OK,Blue,Lib,1900,,1941,0,1,1,0,0,0,,,
Frank G Allen,5,MA,Red,Lib,1900,1932,1950,0,1,1,0,0,0,,,
George White,5,OH,Blue,Mod,1900,1936,1953,0,1,1,0,0,0,,,
James J Couzens,5,MI,Red,Prog,1900,,1936,0,1,1,0,0,0,,,
John G Oglesby,5,IL,Red,Mod,1900,,1938,0,1,1,0,0,0,,,
John J Casey,5,PA,Blue,Lib,1900,,1929,0,1,0,0,0,0,,,
Key Pittman,5,NV,Blue,Mod,1900,,1940,0,2,0,0,0,0,,,
Lee M Russell,5,MS,Blue,Cons,1900,,1943,0,1,1,0,0,0,,,
Oscar Auf Der Heide,5,NJ,Blue,Mod,1900,1936,1945,0,1,1,0,0,0,,,
William Josiah MacDonald,5,MI,Red,Prog,1900,1916,1946,0,1,0,1,0,0,,,
William Williamson,5,SD,Red,Mod,1900,1932,1972,0,1,0,1,0,1,,,
Xenophon Overton Pindall,5,AR,Blue,Cons,1900,,1935,0,1,1,0,0,0,,,
Cary A Hardee,5,FL,Blue,Cons,1904,1932,1957,0,1,1,0,0,0,,,
Charles Kramer,5,CA,Blue,Mod,1904,,1943,0,1,1,0,0,0,,,
Clarence Cannon,5,MO,Blue,Cons,1904,1964,1964,0,1,0,0,0,0,,,
Clyde Herring,5,IA,Blue,Mod,1904,,1945,0,1,1,0,0,0,,,
Don B Colton,5,UT,Red,Mod,1904,1932,1952,0,1,1,0,0,0,,,
Edwin P Morrow,5,KY,Red,Mod,1904,,1935,0,0,1,0,0,0,,,
Elbert L Trinkle,5,VA,Blue,Cons,1904,,1939,0,1,1,0,0,0,,,
James Hubert Price,5,VA,Blue,Lib,1904,,1943,0,1,1,0,0,0,,,
John J Dempsey,5,NM,Blue,Cons,1904,,1958,0,1,1,0,0,0,,,
Louis J Brann,5,ME,Blue,Mod,1904,1940,1948,0,1,1,0,0,0,,,
Peter Gerry,5,RI,Blue,Mod,1904,1948,1957,0,2,0,0,0,0,,,
Thomas Edward Campbell,5,AZ,Red,Mod,1904,,1944,0,0,2,0,0,0,,,
William B Pine,5,OK,Red,Cons,1904,,1942,0,1,1,0,0,0,,,
AW Norblad,5,OR,Red,Mod,1908,1932,1960,0,1,1,0,0,0,,,
John C B Ehringhaus,5,NC,Blue,Mod,1908,,1949,0,1,1,0,0,0,,,
Joseph B Ely,5,MA,Blue,Cons,1908,1972,1956,0,0,2,0,0,0,,,
Morgan F Larson,5,NJ,Red,Mod,1908,1936,1961,0,1,1,0,0,0,,,
Paul Brown,5,GA,Blue,Trad,1908,,1961,0,1,1,0,0,0,,,
Walter W Bacon,5,DE,Red,Mod,1908,1952,1962,0,0,2,0,0,0,,,
William Henry Wills,5,VT,Red,Mod,1908,,1946,0,1,1,0,0,0,,,
William P Lambertson,5,KS,Red,Mod,1908,1944,1957,0,1,1,0,0,0,,,
Absalom Willis Robertson,5,VA,Blue,Trad,1912,1968,1971,0,2,0,0,0,0,,,
Cap Graham,5,FL,Blue,Mod,1912,1944,1964,0,1,1,0,0,0,,,
Edward P Carville,5,NV,Blue,Mod,1912,1948,1956,0,1,1,0,0,0,,,
George A Wilson,5,IA,Red,Mod,1912,,1953,0,1,1,0,0,0,,,
James M Mead,5,NY,Blue,Lib,1912,1952,1964,0,1,1,0,0,0,,,
James Pope,5,ID,Blue,Lib,1912,1940,1966,0,1,1,0,0,0,,,
Jessie Wilson Sayre,5,MA,Blue,Lib,1912,,1933,0,1,0,0,0,1,,,
John M Baer,5,ND,Red,Lib,1912,1920,1970,0,1,0,0,0,0,,,
Joseph O'Mahoney,5,WY,Blue,Lib,1912,1960,1962,0,2,0,0,0,0,,,
M Clifford Townsend,5,IN,Blue,Mod,1912,1948,1954,0,1,1,0,0,0,,,
Martin L Davey,5,OH,Blue,Lib,1912,,1946,0,1,1,0,0,0,,,
Allen Ellender,5,LA,Blue,Cons,1916,1972,1972,0,2,0,0,0,0,,,
Bronson Cutting,5,NM,Red,Lib,1916,,1935,0,1,0,0,1,0,,,
David Sholtz,5,FL,Blue,Mod,1916,,1953,0,1,1,0,0,0,,,
Dennis Chavez,5,NM,Blue,Lib,1916,,1962,0,2,0,0,0,0,,,
Frank Fellows,5,ME,Red,Mod,1916,1952,1951,0,1,0,0,0,0,,,
Hjalmar Petersen,5,MN,Blue,Lib,1916,1940,1968,0,1,1,0,0,0,,,
J Melville Broughton,5,NC,Blue,Cons,1916,,1949,0,1,1,0,0,0,,,
John Hunt Udall,5,AZ,Red,Mod,1916,1940,1959,0,1,1,0,0,0,,,
John S Battle,5,VA,Blue,Trad,1916,1956,1972,0,1,1,0,0,0,,,
Lee O'Daniel,5,TX,Blue,Mod,1916,1948,1969,0,1,1,0,0,0,,,
Oren Long,5,HI,Blue,Mod,1916,1964,1965,0,1,1,0,0,0,,,
Andrew Schoeppel,5,KS,Red,Cons,1920,,1962,0,1,1,0,0,0,,,
Beauford Jester,5,TX,Blue,Cons,1920,,1949,0,0,1,0,1,1,,,
Frank A Barrett,5,WY,Red,Mod,1920,1960,1962,0,1,1,0,0,0,,,
Lewis Schwellenbach,5,WA,Blue,Lib,1920,,1948,0,1,0,1,0,1,,,
Wendell Wilkie,5,NY,Blue,Mod,1920,,1944,0,0,0,0,0,0,1936,,
Frazier Reams,5,OH,Blue,Mod,1924,1956,1971,0,1,1,0,0,0,,,
George Dewey Clyde,5,UT,Red,Mod,1924,1964,1972,0,0,2,0,0,0,,,
John H Hall,5,OR,Red,Mod,1924,1952,1970,0,1,1,0,0,0,,,
Sam H Jones,5,LA,Blue,Cons,1924,1944,1978,0,1,1,0,0,0,,,
D Worth Clark,5,ID,Blue,Cons,1928,,1955,0,1,0,0,0,0,,,
Theodore R McKeldin,5,MD,Red,Mod,1928,1960,1974,0,0,2,0,0,0,,,
Thomas D'Alesandro Jr,5,MD,Blue,Prog,1928,1948,1987,0,1,1,0,0,0,,,
Thomas Hennings Jr,5,MO,Blue,Lib,1928,,1960,0,1,0,0,0,0,,,
Victor Emanuel Anderson,5,NE,Red,Mod,1928,,1962,0,1,1,0,0,0,,,
W A C Bennett,5,Canada,Red,Cons,1928,,1979,0,1,1,0,0,0,,,
Charley Eugene Johns,5,FL,Blue,RW Pop,1932,1960,1990,0,1,1,0,0,0,,,
Herman Welker,5,ID,Red,Trad,1932,,1957,0,1,0,0,1,0,,,
John J Williams,5,DE,Red,Lib,1932,1976,1988,0,2,0,0,0,0,,,
Rush Holt Sr,5,WV,Blue,RW Pop,1932,,1955,0,1,1,0,0,0,1948,,
Daniel I J Thornton,5,CO,Red,Mod,1936,,1976,0,1,1,0,0,0,,,
Francis Cherry,5,AR,Blue,Cons,1936,,1965,0,0,1,1,1,0,,,
James Kealoha,5,HI,Red,Mod,1936,1964,1983,0,1,1,0,0,0,,,
Glenn M Anderson,5,CA,Blue,Mod,1940,1992,1994,0,1,1,0,0,0,,,
John N Dempsey,5,CT,Blue,Lib,1940,1972,1989,0,0,2,0,0,0,,,
Joseph Montoya,5,NM,Blue,Mod,1940,,1978,0,1,1,0,0,0,,,
Joseph P Kennedy Jr,5,MA,Blue,Mod,1940,1944,1944,0,0,1,0,1,0,,,
Walter B Jones Sr,5,NC,Blue,Mod,1940,1992,1992,0,1,1,0,0,0,,,
William T Cahill,5,NJ,Red,Mod,1940,1976,1996,0,1,1,0,0,0,,,
Alvin Bentley,5,MI,Red,Mod,1944,,1969,0,1,0,0,0,1,,,
Jack M Campbell,5,NM,Blue,Mod,1944,1968,1999,0,1,1,0,0,0,,,
Keith Sebelius,5,KS,Red,Mod,1944,,1982,0,1,1,0,0,0,,,
Keith Thomson,5,WY,Red,Mod,1944,,1960,0,1,0,0,1,0,,,
Donald Brotzman,5,CO,Red,Mod,1948,1976,2004,0,1,1,0,0,0,,,
Jay Hammond,5,AK,Red,Cons,1948,1984,2005,0,0,2,0,0,0,,,
Harriett Woods,5,MO,Blue,Mod,1952,1988,2007,0,1,1,0,0,0,,,
J Glenn Beall Jr,5,MD,Red,Mod,1952,1980,2006,0,1,1,0,0,0,,,
Joe Skeen,5,NM,Red,Cons,1952,2004,2003,0,1,1,0,0,0,,,
Ned Breathitt,5,KY,Blue,Lib,1952,1968,2003,0,1,1,0,0,0,,,
Skip Bafalis,5,FL,Red,Cons,1956,1980,,0,1,1,0,0,0,,,
John M Ashbrook,5,OH,Red,Cons,1956,,1982,0,1,0,0,0,0,,,
Mike O'Callaghan,5,NV,Blue,Mod,1956,1980,2004,0,0,2,0,0,0,,,
Tom Kindness,5,OH,Red,Cons,1956,1988,2004,0,1,1,0,0,0,,,
James Holshouser,5,NC,Red,Mod,1960,1980,2013,0,1,1,0,0,0,,,
Ronald A Sarasin,5,CT,Red,Mod,1960,1980,,0,1,1,0,0,0,,,
Al D'Amato,5,NY,Red,Mod,1964,2000,,0,2,0,0,0,0,,,
Ben Cayetano,5,HI,Blue,Lib,1964,2004,,0,0,2,0,0,0,,,
David D Marriott,5,UT,Red,Mod,1964,1984,,0,1,1,0,0,0,,,
Les Aspin,5,WI,Blue,Lib,1964,,1995,0,1,0,0,1,1,,,
Neil Abercrombie,5,HI,Blue,Lib,1964,2016,,0,1,1,0,0,0,,,
Richard F Larsen,5,ND,Red,Cons,1964,1976,,0,1,1,0,0,0,,,
Steve Cowper,5,AK,Blue,Lib,1964,1992,,0,1,1,0,0,0,,,
Thad Cochran,5,MS,Red,Cons,1964,,2019,0,2,0,0,0,0,,,
Tom Osborne,5,NE,Red,Mod,1964,2008,,0,1,1,0,0,0,,,
Tony Earl,5,WI,Blue,Lib,1964,1988,,0,1,1,0,0,0,,,
Wes Watkins,5,OK,Blue,Mod,1964,2004,,0,1,1,0,0,1,1996,,
William L. Armstrong,5,CO,Red,Mod,1964,1992,2016,0,1,0,0,0,0,,,
Bob Etheridge,5,NC,Blue,Mod,1968,2012,,0,1,1,0,0,0,,,
Bob Kasten,5,WI,Red,Cons,1968,1992,,0,1,1,0,0,0,,,
Parris Glendening,5,MD,Blue,Mod,1968,2004,,0,0,2,0,0,0,,,
Richard M Daley,5,IL,Blue,Mod,1968,2012,,0,1,1,0,0,0,,,
Bev Perdue,5,NC,Blue,Mod,1972,2016,,0,1,1,0,0,0,,,
Bob Miller,5,NV,Blue,Mod,1972,2000,,0,0,2,0,0,0,,,
Bruce Lunsford,5,KY,Blue,Mod,1972,2008,,0,1,1,0,0,0,,,
David Bonior,5,MI,Blue,Prog,1972,2004,,0,1,1,0,0,0,,,
Donald DiFrancesco,5,NJ,Red,Mod,1972,2004,,0,1,1,0,0,0,,,
Dorothy Bradley,5,MT,Blue,Mod,1972,1992,,0,1,1,0,0,0,,,
Gary Herbert,5,UT,Red,Cons,1972,2020,,0,0,2,0,0,0,,,
Jim Martin,5,GA,Blue,Mod,1972,2008,,0,1,1,0,0,0,,,
Johnny Isakson,5,GA,Red,Cons,1972,2020,2021,0,1,1,0,0,0,,,
Lamar Smith,5,TX,Red,Cons,1972,2020,,0,1,1,0,0,0,,,
Lars Herseth,5,SD,Blue,Mod,1972,1996,,0,1,1,0,0,0,,,
Lowell Junkins,5,IA,Blue,Mod,1972,1988,,0,1,1,0,0,0,,,
Mazie Hirono,5,HI,Blue,Lib,1972,,,0,1,1,0,0,0,,,
Paul Trible,5,VA,Red,Cons,1972,1988,,0,1,1,0,0,0,,,
Phil Roe,5,TN,Red,Cons,1972,2020,,0,1,1,0,0,0,,,
Richard Codey,5,NJ,Blue,Lib,1972,2008,,0,1,1,0,0,0,,,
Roger Moe,5,MN,Blue,Mod,1972,2004,,0,1,1,0,0,0,,,
Albio Sires,5,NJ,Blue,Mod,1976,,,0,1,1,0,0,0,1984,1996,
Bob Beauprez,5,CO,Red,Mod,1976,2016,,0,1,1,0,0,0,,,
Daniel McKee,5,RI,Blue,Mod,1976,,,0,1,1,0,0,0,,,
Daniel Webster,5,FL,Red,Cons,1976,,,0,2,0,0,0,0,,,
Dick Posthumus,5,MI,Red,Mod,1976,2004,,0,1,1,0,0,0,,,
Dina Titus,5,NV,Blue,Lib,1976,,,0,1,1,0,0,0,,,
John Boehner,5,OH,Red,Cons,1976,2016,,0,2,0,0,0,0,,,
Laura Kelly,5,KS,Blue,Mod,1976,,,0,1,1,0,0,0,,,
Mike Crapo,5,ID,Red,Cons,1976,,,0,2,0,0,0,0,,,
Patty Murray,5,WA,Blue,Lib,1976,,,0,2,0,0,0,0,,,
Richard Neal,5,MA,Blue,Lib,1976,,,0,1,1,0,0,0,,,
Rick Hill,5,MT,Red,Cons,1976,2012,,0,1,1,0,0,0,,,
Robert Weygand,5,RI,Blue,Lib,1976,2000,,0,1,1,0,0,0,,,
Rod Grams,5,MN,Red,Mod,1976,,2013,0,1,1,0,0,0,,,
Ron Wyden,5,OR,Blue,Lib,1976,,,0,2,0,0,0,0,,,
Roy Barnes,5,GA,Blue,Mod,1976,2012,,0,1,1,0,0,0,,,
Scott McCallum,5,WI,Red,Cons,1976,2004,,0,1,1,0,0,0,,,
Brad Little,5,ID,Red,Cons,1980,,,0,1,1,0,0,0,,,
Dannel Malloy,5,CT,Blue,Lib,1980,2020,,0,0,2,0,0,0,,,
Doug Racine,5,VT,Blue,Lib,1980,2004,,0,1,1,0,0,0,,,
Douglas Forrester,5,NJ,Red,Mod,1980,2008,,0,1,1,0,0,0,,,
Earl Ray Tomblin,5,WV,Blue,Mod,1980,2020,,0,1,1,0,0,0,,,
George Allen,5,VA,Red,Cons,1980,2008,,0,1,1,0,0,0,,,
Lincoln Chafee,5,RI,Red,Mod,1980,2020,,0,1,1,0,0,0,2012,,
Mike Michaud,5,ME,Blue,Mod,1980,2016,,0,1,1,0,0,0,,,
Ned Lamont,5,CT,Blue,Lib,1980,,,0,1,1,0,0,0,,,
Scott Jensen,5,MN,Red,Mod,1980,,,0,1,1,0,0,0,,,
Shri Thanedar,5,MI,Blue,Prog,1980,,,0,1,1,0,0,0,,,
Bob Ehrlich,5,MD,Red,Cons,1984,2008,,0,1,1,0,0,0,,,
Brett Schundler,5,NJ,Red,Mod,1984,2004,,0,1,1,0,0,0,,,
Charlie Crist,5,FL,Red,Mod,1984,,,0,1,1,0,0,1,2012,,
Colin M Simpson,5,WY,Red,Cons,1984,2012,,0,1,1,0,0,0,,,
Jim Davis,5,FL,Blue,Mod,1984,2008,,0,1,1,0,0,0,,,
Jim Hodges,5,SC,Blue,Mod,1984,2004,,0,1,1,0,0,0,,,
John Carney,5,DE,Blue,Lib,1984,,,0,1,1,0,0,0,,,
Kim Reynolds,5,IA,Red,Cons,1984,,,0,1,1,0,0,0,,,
Maggie Hassan,5,NH,Blue,Mod,1984,,,0,1,1,0,0,0,,,
Maria Cantwell,5,WA,Blue,Lib,1984,,,0,2,0,0,0,0,,,
Mark Parkinson,5,KS,Red,Mod,1984,2012,,0,1,1,0,0,0,2004,,
Matt Salmon,5,AZ,Red,Cons,1984,,,0,1,1,0,0,0,,,
Pat McCrory,5,NC,Red,Mod,1984,,,0,1,1,0,0,1,,,
Rick Lazio,5,NY,Red,Mod,1984,2012,,0,1,1,0,0,0,,,
Rick Snyder,5,MI,Red,Cons,1984,2020,,0,0,2,0,0,0,,,
Russ Carnahan,5,MO,Blue,Mod,1984,2012,,0,1,1,0,0,0,,,
Scott Milne,5,VT,Red,Mod,1984,2016,,0,1,1,0,0,0,,,
Tim Kaine,5,VA,Blue,Mod,1984,,,0,1,1,0,0,0,,,
Van Hilleary,5,TN,Red,Cons,1984,2004,,0,1,1,0,0,0,,,
Daniel Mongiardo,5,KY,Blue,Mod,1988,2012,,0,1,1,0,0,0,,,
Harriet Hageman,5,WY,Red,Trad,1988,,,0,1,1,0,0,0,,,
Jack Ciattarelli,5,NJ,Red,Cons,1988,,,0,1,1,0,0,0,,,
Janice McGeachin,5,ID,Red,Cons,1988,,,0,1,1,0,0,0,,,
Jeff Colyer,5,KS,Red,Cons,1988,2020,,0,1,1,0,0,0,,,
Jim Matheson,5,UT,Blue,Mod,1988,2016,,0,1,1,0,0,0,,,
Matt Mead,5,WY,Red,Cons,1988,2020,,0,0,2,0,0,0,,,
Mike Dunleavy,5,AK,Red,Cons,1988,,,0,1,1,0,0,0,,,
Annette Taddeo,5,FL,Blue,Lib,1992,,,0,1,1,0,0,0,,,
Artur Davis,5,AL,Blue,Cons,1992,2012,,0,1,1,0,0,0,2012,2016,
Chris Dudley,5,OR,Red,Mod,1992,2012,,0,0,1,0,0,1,,,
Jane Swift,5,MA,Red,Mod,1992,2004,,0,1,1,0,0,0,,,
Jeff Johnson,5,MN,Red,Cons,1992,2020,,0,1,1,0,0,0,,,
Michelle Fischbach,5,MN,Red,Cons,1992,,,0,1,1,0,0,0,,,
Pete Stauber,5,MN,Red,Mod,1992,,,0,1,1,0,0,0,,,
Raul Labrador,5,ID,Red,Cons,1992,2020,,0,1,1,0,0,0,,,
Tim Walz,5,MN,Blue,Mod,1992,,,0,1,1,0,0,0,,,
Beau Biden,5,DE,Blue,Mod,1996,,2015,0,0,1,0,1,1,,,
Josh Green,5,HI,Blue,Lib,1996,,,0,1,1,0,0,0,,,
Kelly Ayotte,5,NH,Red,Mod,1996,2024,,0,1,0,0,0,1,,,
Shan Tsutsui,5,HI,Blue,Lib,1996,2020,,0,1,1,0,0,0,,,
Thomas Massie,5,KY,Red,Trad,1996,,,0,1,0,0,0,0,,,
Todd Lamb,5,OK,Red,Cons,1996,2020,,0,1,1,0,0,0,,,
Vincent Sheheen,5,SC,Blue,Mod,1996,2020,,0,1,1,0,0,0,,,
Christine Drazan,5,OR,Red,Cons,2000,,,0,1,1,0,0,0,,,
Howie Morales,5,NM,Blue,Lib,2000,,,0,1,1,0,0,0,,,
Jill Tokuda,5,HI,Blue,Prog,2000,,,0,1,1,0,0,0,,,
Kevin Stitt,5,OK,Red,Cons,2000,,,0,0,2,0,0,0,,,
Marc Molinaro,5,NY,Red,Mod,2000,,,0,1,1,0,0,0,,,
Mark Ronchetti,5,NM,Red,Mod,2000,,,0,1,1,0,0,0,,,
Mike Flood,5,NE,Red,Cons,2000,,,0,1,0,0,0,0,,,
Robert Garcia,5,CA,Red,Mod,2004,,,0,1,1,0,0,0,2008,,
Cyrus Habib,5,WA,Blue,Lib,2008,2024,,0,1,1,0,0,0,,,
Yuh-Line Niou,5,NY,Blue,LW Pop,2008,,,0,1,0,0,0,0,,,
Billie Sutton,5,SD,Blue,Mod,2012,2020,,0,1,1,0,0,0,,,
Edward Rutledge,4.5,SC,Red,Cons,1776,,1800,0,1,1,0,1,0,,,
Francis Marion,4.5,SC,Blue,Trad,1760,,1795,0,0,0,0,2,0,,,
Franklin Pierce,4.5,NH,Blue,Cons,1832,1860,1869,0,1,0,0,1,0,,,
Harrison Riddleberger,4.5,VA,Blue,Cons,1868,,1890,0,1,1,0,1,0,,,
Earl Butz,4.5,IN,Red,Cons,1936,1976,2008,0,0,0,0,0,2,,,
Maurice Stans,4.5,NY,Red,Mod,1936,1976,1998,0,0,0,0,0,1,,,
Abraham Whipple,4.5,RI,Red,Mod,1760,1784,1819,0,0,0,0,2,0,,,
Waitman Willey,4.5,VA,Red,Cons,1836,1872,1900,0,1,0,0,0,0,,,
Roger Griswold,4.5,CT,Red,Cons,1788,,1812,0,1,1,1,0,1,,,
Alexander Hamilton Jr,4.5,NY,Red,Mod,1812,1836,1875,0,1,0,0,1,0,,,
Stephen Decatur Miller,4.5,SC,Blue,Trad,1812,,1838,0,1,1,0,0,0,,,
Amos Kendall,4.5,KY,Blue,Cons,1816,1840,1869,0,0,0,0,0,2,,,
William K Clowney,4.5,SC,Blue,Trad,1824,,1851,0,1,1,0,0,0,,,
Lazarus W Powell,4.5,KY,Blue,Mod,1840,,1867,0,1,1,0,0,0,,,
Edward John Phelps,4.5,VT,Blue,Cons,1848,1892,1900,0,0,0,2,0,1,,,
Robert Todd Lincoln,4.5,IL,Red,Mod,1868,1904,1926,0,0,0,0,1,1,,,
Jacob Gould Schurman,4.5,NY,Red,Mod,1880,1932,1942,0,0,0,0,0,1,,,
Carrington T Marshall,4.5,OH,Red,Cons,1896,1932,1958,0,0,0,2,0,0,,,
Henry P Fletcher,4.5,PA,Red,Mod,1900,1932,1959,0,0,0,0,1,1,,,
Jefferson Caffery,4.5,LA,Blue,Cons,1912,1956,1974,0,0,0,0,0,1,,,
Winthrop W Aldrich,4.5,RI,Red,Mod,1912,1960,1974,0,0,0,0,1,1,,,
Marriner Eccles,4.5,UT,Red,Mod,1916,1948,1977,0,0,0,0,0,2,,,
Karl L Rankin,4.5,WI,Red,Lib,1924,1956,1991,0,0,0,0,0,2,,,
Arleigh Burke,4.5,CO,Red,Mod,1928,1964,1996,0,0,0,0,2,0,,,
John A McCone,4.5,CA,Red,Cons,1928,1968,1991,0,0,0,0,0,2,,,
David L McDonald,4.5,GA,Blue,Cons,1932,1968,1997,0,0,0,0,2,0,,,
David M Kennedy,4.5,UT,Red,Mod,1932,1972,1996,0,0,0,0,0,2,,,
Arthur Garfield,4.5,WY,Blue,Lib,1936,1976,2005,0,0,0,1,0,0,,,
Charles F Adams IV,4.5,MA,Red,Mod,1936,1980,1999,0,0,0,0,1,1,,,
Dean Rusk,4.5,GA,Blue,Mod,1936,1972,1994,0,0,0,0,1,2,,,
Gus Hall,4.5,NY,Blue,LW Pop,1936,2000,2000,0,0,0,0,0,0,,,
Harry Blackmun,4.5,MN,Red,Mod,1936,1996,1999,0,0,0,2,0,0,,,
Henry H Fowler,4.5,VA,Blue,Mod,1936,1972,2000,0,0,0,0,0,1,,,
Walter McConaughy,4.5,GA,Blue,Cons,1936,1976,2000,0,0,0,0,0,1,,,
Theodore Roosevelt III,4.5,PA,Red,Mod,1940,1952,2001,0,0,0,0,1,1,,,
Winthrop Rockefeller,4.5,AR,Red,Lib,1940,1972,1973,0,0,1,0,1,0,,,
Griffin Bell,4.5,GA,Blue,Mod,1944,1980,2009,0,0,0,1,0,1,,,
Lauro Cavazos,4.5,TX,Blue,Mod,1952,1992,,0,0,0,0,0,1,,,
Shirley Hufstedler,4.5,CA,Blue,Lib,1952,1984,2016,0,0,0,1,0,1,,,
William Perry,4.5,PA,Blue,Lib,1952,1996,,0,0,0,0,0,2,,,
Clayton Yeutter,4.5,NE,Red,Cons,1956,1996,2017,0,0,0,0,0,1,,,
Dolores Huerta,4.5,CA,Blue,Prog,1956,1992,,0,0,0,0,0,1,,,
Jean Kennedy Smith,4.5,NY,Blue,Lib,1956,2000,2020,0,0,0,0,0,2,,,
Pascal F Calogero Jr,4.5,LA,Blue,Mod,1956,2004,2018,0,0,0,1,0,1,,,
Ray Marshall,4.5,TX,Blue,Mod,1956,1980,,0,0,0,0,0,1,,,
Raymond Donovan,4.5,NJ,Red,Cons,1956,1988,,0,0,0,0,0,2,,,
Walter Mondale,4.5,MN,Blue,Lib,1956,2004,,0,1,0,0,0,1,,,
Benjamin Civiletti,4.5,NY,Blue,Mod,1960,1980,,0,0,0,0,0,1,,,
Katherine D Ortega,4.5,NM,Red,Cons,1960,1992,,0,0,0,0,0,2,,,
Louis Wade Sullivan,4.5,GA,Red,Mod,1960,1996,,0,0,0,0,0,1,,,
Paul O'Neill,4.5,PA,Red,Mod,1960,2004,,0,0,0,0,0,2,,,
William Howard Taft IV,4.5,OH,Red,Mod,1972,1996,,0,0,0,0,0,1,,,
Samuel Alito,4.5,NJ,Red,Cons,1976,,,0,0,0,2,1,1,,,
James DeWolf,4,RI,Blue,Trad,1792,1824,1837,0,1,0,0,0,0,,,
Sally Hemings,4,VA,Red,Lib,1800,,1835,0,0,0,0,0,1,,,
Alexander Wolcott,4,CT,Blue,Mod,1784,1812,1828,0,1,0,1,0,0,,,
Thomas Boylston Adams,4,MA,Red,Mod,1800,,1832,0,1,0,1,0,0,,,
Lilburn Boggs,4,MO,Blue,Cons,1824,,1860,0,1,1,0,0,0,,,
Albert G Brown,4,MS,Blue,Trad,1840,,1880,0,1,1,0,0,0,,,
